it,walltime,rhf,slope,potential,note
1,0.036370,1.026598,-0.090886,55904.349,DeepLLL-4
2,0.101688,1.021886,-0.076454,53382.436,DeepLLL-4
3,0.145511,1.021886,-0.068611,52011.882,DeepLLL-4
4,0.220787,1.018460,-0.060909,50665.818,DeepLLL-4
5,0.249776,1.018460,-0.056794,49946.719,DeepLLL-4
6,0.314000,1.016765,-0.052555,49205.944,DeepLLL-4
7,0.378614,1.016765,-0.050557,48856.820,DeepLLL-4
8,0.394801,1.016143,-0.049513,48674.473,DeepLLL-4
9,0.415722,1.016143,-0.048416,48482.642,DeepLLL-4
10,0.506631,1.015325,-0.047323,48291.608,DeepLLL-4
12,0.630269,1.015192,-0.046223,48099.408,DeepLLL-4
15,0.685775,1.015192,-0.045038,47892.301,DeepLLL-4
16,0.780640,1.014931,-0.044643,47823.443,DeepLLL-4
19,0.942979,1.014931,-0.044375,47776.559,DeepLLL-4
20,18.057209,1.013328,-0.043188,47569.071,BKZ-64
25,24.960265,1.013328,-0.042020,47364.908,BKZ-64
31,32.681212,1.012658,-0.041236,47227.897,BKZ-64
34,42.051219,1.012658,-0.040881,47165.897,BKZ-64
44,42.333674,1.012658,-0.039854,46986.418,DeepLLL-4
45,48.643552,1.012658,-0.039701,46959.685,BKZ-64
47,64.343229,1.012658,-0.039520,46928.057,BKZ-64
49,73.962241,1.012658,-0.038834,46808.145,BKZ-64
58,84.010240,1.012658,-0.037915,46647.640,BKZ-64
64,86.898395,1.012658,-0.037726,46614.541,DeepLLL-4
